 ****     -80.000     -70.000     -60.000     -50.000     -40.000     -30.000     -20.000     -10.000       0.000      10.000      20.000      30.000      40.000      50.000      60.000      70.000      80.000      90.000     100.000     110.000     120.000     130.000     140.000     150.000     160.000     170.000     180.000     190.000     200.000     210.000     220.000     230.000     240.000     250.000     260.000     270.000     280.000     290.000     300.000     310.000     320.000     330.000     340.000     350.000     360.000     370.000     380.000     390.000     400.000     410.000     420.000     430.000     440.000     450.000     460.000     470.000     480.000     490.000     500.000
 
    1   0.000E+00  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01
   12   0.258E+17  -0.676E+16   0.799E+15  -0.122E+07  -0.120E+07  -0.280E+15   0.296E+16  -0.140E+17   0.393E+17  -0.722E+17   0.906E+17  -0.788E+17   0.468E+17  -0.182E+17   0.417E+16  -0.428E+15   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.900E+13  -0.998E+14   0.498E+15  -0.147E+16   0.286E+16  -0.381E+16   0.352E+16  -0.223E+16   0.928E+15  -0.229E+15   0.254E+14
 
   13   0.351E+18  -0.824E+17   0.879E+16  -0.145E+07   0.280E+16  -0.327E+17   0.173E+18  -0.548E+18   0.115E+19  -0.170E+19   0.178E+19  -0.133E+19   0.696E+18  -0.242E+18   0.501E+17  -0.471E+16   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -0.900E+14   0.110E+16  -0.608E+16   0.202E+17  -0.448E+17   0.695E+17  -0.770E+17   0.610E+17  -0.338E+17   0.125E+17  -0.277E+16   0.279E+15
 
   14   0.468E+19  -0.994E+18   0.967E+17  -0.280E+17   0.357E+18  -0.209E+19   0.738E+19  -0.176E+20   0.297E+20  -0.366E+20   0.330E+20  -0.216E+20   0.101E+20  -0.316E+19   0.598E+18  -0.518E+17   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.900E+15  -0.120E+17   0.728E+17  -0.269E+18   0.670E+18  -0.119E+19   0.153E+19  -0.146E+19   0.101E+19  -0.497E+18   0.165E+18  -0.333E+17   0.307E+16
 
   15   0.615E+20  -0.119E+20   0.134E+19  -0.388E+19   0.248E+20  -0.968E+20   0.257E+21  -0.490E+21   0.692E+21  -0.732E+21   0.579E+21  -0.339E+21   0.142E+21  -0.407E+20   0.710E+19  -0.570E+18   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -0.900E+16   0.129E+18  -0.860E+18   0.349E+19  -0.966E+19   0.193E+20  -0.284E+20   0.315E+20  -0.261E+20   0.161E+20  -0.712E+19   0.215E+19  -0.397E+18   0.338E+17
 
   16   0.795E+21  -0.144E+21   0.536E+20  -0.291E+21   0.124E+22  -0.363E+22   0.773E+22  -0.123E+23   0.149E+23  -0.138E+23   0.976E+22  -0.515E+22   0.197E+22  -0.519E+21   0.838E+20  -0.627E+19   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.900E+17  -0.139E+19   0.100E+20  -0.444E+20   0.135E+21  -0.299E+21   0.496E+21  -0.627E+21   0.607E+21  -0.448E+21   0.248E+21  -0.998E+20   0.276E+20  -0.470E+19   0.372E+18
 
