 212  1,09861279
 213  1,09756815
 214  1,09861207
 215  1,09757674
 216  1,09861279
 217  1,09758651
 218  1,09861207
 219  1,09759629
 220  1,09861255
 221  1,09760523
 222  1,09861243
 223  1,09761381
 224  1,09861171
 225  1,09762263
 226  1,09861195
 227  1,09763253
 228  1,09861231
 229  1,09764063
 230  1,09861195
 231  1,09764886
 232  1,09861302
 233  1,09765744
 234  1,09861231
 235  1,09766591
 236  1,09861207
 237  1,0976733
 238  1,09861255
 239  1,0976814
 240  1,09861219
 241  1,09768915
 242  1,09861243
 243  1,09769642
 244  1,09861207
 245  1,09770393
 246  1,09861219
 247  1,09771144
 248  1,09861279
 249  1,09771931
 250  1,09861171
 251  1,09772599
 252  1,09861243
 253  1,09773278
 254  1,09861231
 255  1,0977397
 256  1,09861207
 257  1,09774673
 258  1,09861207
 259  1,09775293
 260  1,09861231
 261  1,09775984
 262  1,09861219
 263  1,0977664
 264  1,09861219
 265  1,09777284
 266  1,09861219
 267  1,09777856
 268  1,09861219
 269  1,09778476
 270  1,09861183
 271  1,09779096
 272  1,09861219
 273  1,09779692
 274  1,09861219
 275  1,097803
 276  1,09861219
 277  1,09780931
 278  1,09861219
 279  1,09781432
 280  1,09861195
 281  1,09782052
 282  1,09861195
 283  1,09782624
 284  1,09861231
 285  1,09783125
 286  1,09861279
 287  1,09783673
 288  1,09861207
 289  1,09784222
 290  1,09861219
 291  1,09784746
 292  1,09861243
 293  1,09785271
 294  1,09861219
 295  1,09785795
 296  1,09861243
 297  1,09786296
 298  1,09861219
 299  1,09786808
 300  1,09861219
 301  1,09787321
 302  1,09861219
 303  1,09787869
 304  1,09861231
 305  1,09788287
 306  1,09861207
 307  1,09788764
 308  1,09861207
 309  1,09789252
 310  1,09861267
 311  1,09789646
 312  1,09861267
 313  1,09790146
 314  1,09861219
 315  1,09790576
 316  1,09861231
 317  1,097911
 318  1,09861231
 319  1,09791529
 320  1,09861243
 321  1,09791934
 322  1,09861255
 323  1,09792364
 324  1,09861231
 325  1,09792793
 326  1,09861231
 327  1,0979321
 328  1,09861231
 329  1,09793591
 330  1,09861302
 331  1,09793961
 332  1,09861207
 333  1,09794426
 334  1,09861231
 335  1,09794796
 336  1,09861183
 337  1,0979526
 338  1,09861171
 339  1,0979563
 340  1,09861231
